Date,Open Price,Close Price,High,Low
2014-08-23,516.1,497.68,516.82,493.98
2014-08-24,497.68,509.71,514.82,496.81
2014-08-25,509.71,502.93,511.33,499.71
2014-08-26,502.93,512.56,516.04,501.81
2014-08-27,512.56,515.23,527.37,512.66
2014-08-28,515.23,510.75,521.59,503.34
2014-08-29,510.75,512.56,515.18,506.69
2014-08-30,512.56,505.96,512.91,503.12
2014-08-31,505.96,481.78,508.34,478.31
2014-09-01,481.78,477.19,487.47,471.78
2014-09-02,477.19,478.94,486.99,470.54
2014-09-03,478.94,480.04,487.29,476.82
2014-09-04,480.04,490.99,498.47,476.26
2014-09-05,490.99,483.65,495.02,483.07
2014-09-06,483.65,484.47,491.38,480.79
2014-09-07,484.47,485.75,490.72,478.49
2014-09-08,485.75,475.69,487.02,469.5
2014-09-09,475.69,474.9,478.6,467.52
2014-09-10,474.9,479.7,491.04,471.57
2014-09-11,479.7,478.49,488.92,474.57
2014-09-12,478.49,477.73,479.71,471.14
2014-09-13,477.73,478.17,480.64,474.64
2014-09-14,478.17,477.74,480.33,471.96
2014-09-15,477.74,477.71,479.28,473.7
2014-09-16,477.71,466.75,478.81,463.95
2014-09-17,466.75,461.09,469.39,458.27
2014-09-18,461.09,424.26,462.26,408.77
2014-09-19,424.26,397.67,429.17,386.1
2014-09-20,397.67,411.53,427.69,387.5
2014-09-21,411.53,401.62,415.07,394.52
2014-09-22,401.62,404.09,410.75,398.6
2014-09-23,404.09,436.86,445.51,394.75
2014-09-24,436.86,423.77,439.19,422.1
2014-09-25,423.77,412.29,427.55,409.56
2014-09-26,412.29,404.46,416.42,399.7
2014-09-27,404.46,399.02,407.07,394.69
2014-09-28,399.02,379.08,402.27,374.12
2014-09-29,379.08,376.77,389.26,372.63
2014-09-30,376.77,388.17,395.18,374.73
2014-10-01,388.17,382.84,395.13,381.11
2014-10-02,382.84,375.14,385.59,371.2
2014-10-03,375.14,363.45,378.22,362.81
2014-10-04,363.45,335.32,369.88,327.1
2014-10-05,335.32,322.86,344.25,294.92
2014-10-06,322.86,331.55,347.94,303.05
2014-10-07,331.55,331.65,345.51,321.74
2014-10-08,331.65,350.87,351.64,325.43
2014-10-09,350.87,360.91,384.61,347.57
2014-10-10,360.91,361.71,378.13,353.32
2014-10-11,361.71,361.22,370.15,350.49
2014-10-12,361.22,373.17,374.57,352.25
2014-10-13,373.17,387.32,391.22,366.04
2014-10-14,387.32,397.1,407.74,385.72
2014-10-15,397.1,393.17,397.87,388.23
2014-10-16,393.17,379.77,398.84,371.56
2014-10-17,379.77,380.48,384.76,372.42
2014-10-18,380.48,390.88,395.71,373.58
2014-10-19,390.88,387.28,394.49,383.92
2014-10-20,387.28,380.39,387.77,378.42
2014-10-21,380.39,382.35,388.24,377.42
2014-10-22,382.35,378.93,383.69,376.97
2014-10-23,378.93,355.78,381.08,353.48
2014-10-24,355.78,355.1,360.87,351.41
2014-10-25,355.1,346.72,356.57,341.53
2014-10-26,346.72,348.67,356.8,344.19
2014-10-27,348.67,350.09,356.35,344.93
2014-10-28,350.09,351.06,355.72,348.27
2014-10-29,351.06,335.12,352.83,334.72
2014-10-30,335.12,344.86,350.38,333.44
2014-10-31,344.86,337.87,347.97,336.08
2014-11-01,337.87,325.43,339.0,320.74
2014-11-02,325.43,322.55,329.76,319.81
2014-11-03,322.55,324.24,332.85,321.67
2014-11-04,324.24,327.96,328.75,320.11
2014-11-05,327.96,338.01,341.98,326.52
2014-11-06,338.01,347.67,351.14,335.74
2014-11-07,347.67,341.87,351.61,340.18
2014-11-08,341.87,343.54,346.29,339.8
2014-11-09,343.54,362.04,362.21,341.78
2014-11-10,362.04,367.15,374.67,356.6
2014-11-11,367.15,365.42,370.99,361.87
2014-11-12,365.42,432.03,442.73,365.81
2014-11-13,432.03,428.72,480.45,390.88
2014-11-14,428.72,396.53,430.18,381.99
2014-11-15,396.53,374.86,407.32,367.97
2014-11-16,374.86,385.61,390.36,370.54
2014-11-17,385.61,384.69,412.33,378.32
2014-11-18,384.69,379.16,394.94,371.95
2014-11-19,379.16,381.43,389.29,374.26
2014-11-20,381.43,357.3,383.03,355.11
2014-11-21,357.3,351.77,358.73,343.8
2014-11-22,351.77,352.01,364.21,350.51
2014-11-23,352.01,365.85,370.59,352.64
2014-11-24,365.85,378.85,388.72,361.92
2014-11-25,378.85,376.43,395.73,370.64
2014-11-26,376.43,365.35,378.27,363.99
2014-11-27,365.35,368.83,374.43,364.81
2014-11-28,368.83,377.59,383.25,358.37
2014-11-29,377.59,376.28,389.3,372.21
2014-11-30,376.28,374.93,381.06,372.57
2014-12-01,374.93,378.61,383.58,373.02
2014-12-02,378.61,380.64,384.87,375.37
2014-12-03,380.64,376.96,384.67,373.64
2014-12-04,376.96,369.84,380.43,366.24
2014-12-05,369.84,377.63,379.7,366.39
